书本名字,作者,状态,类型,点击,字数,收藏数
阳光照耀下的田野,高桥诚良,连载,悬疑推理,1172,1061,0
顷酒坠盛世,鬻废,连载,古代言情,1292,3956,1
甜甜的小温暖,老向废名,连载,青春校园,1292,7339,0
天堂鸟,林书砚,连载,玄幻言情,1292,3793,0
不止一点点,江海儿,连载,青春校园,1289,3507,1
逍遥南墙,南鸿,连载,青春校园,1286,1158,3
渣先生，渣小姐,君行,连载,都市爱情,1276,1019,0
说好了，一起走,云端无境,连载,青春校园,1276,1751,2
可苦可乐,子岛,连载,青春校园,1262,3455,0
芸起坐看时,小內籽,连载,都市爱情,1262,8377,3
落入我心底,白云澹,连载,青春校园,1261,4819,0
云烟成雨，唯不见你,柚子栖,连载,青春校园,1252,7932,1
似满头星辰,鹿壹玖,连载,青春校园,1247,1019,0
灵哉太学,歌醉酒消,连载,青春校园,1245,4373,2
毕业季,李世杰,连载,青春校园,1237,2838,1
未曾忘记的心动初恋,木疏,连载,青春校园,1235,5576,1
江城子:愿择江山,木一本,连载,古代言情,1222,1005,0
景城寄鲁,锦念非霜,连载,娱乐明星,1220,1635,0
哥，你又在口是心非了！,冰禾小大大V,连载,都市甜宠,1212,8353,1
你这么高我都够不着你了,某憨,连载,青春校园,1210,2467,2
恋慕于你,苏杭,连载,都市爱情,1208,3853,0
随因循果,mint75,连载,青春校园,1321,11416,6
白色味喜欢,一元鱼籽,连载,青春校园,1321,2475,3
这个主播很宠粉,是橘同学,连载,游戏竞技,1315,7692,0
想要温柔说爱你,Wijoy加誉,连载,青春校园,1310,15733,0
拾忆总裁追妻路,一片空白,连载,都市甜宠,1309,6000,0
魔女神妃：百情录,青筱,连载,玄幻言情,1308,1450,0
烟雨古董店,慕曦,连载,仙侠神话,1307,2077,3
你的爱情与世长辞,晚来,连载,青春校园,1306,6103,1
鼠小计设组,鼠小编,连载,推理破案,1296,5091,0
慕凉川的求亲,夜却透,连载,古代言情,1293,6064,4
我的小说不能发表,差错,连载,青春校园,1492,1013,0
星河遥远只看见你,宋安晚,连载,青春校园,1486,1925,0
向着光的背影,花白,连载,青春校园,1481,5754,1
你是我万水千山的冒险,冰糖福梨,连载,青春校园,1476,4356,0
唯有时光可回首,言苏,连载,青春校园,1473,2563,0
日暮乡关是归途,艾莫,连载,古代言情,1465,6142,0
飘零缘絮,张导儿,连载,仙侠神话,1461,7891,1
愿尔长安归处去,木汐九时,连载,古代言情,1458,1844,2
爱的四个乐章Ⅰ,司徒兰章,连载,青春校园,1454,9537,1
我会一直在,Sunflower,连载,都市爱情,1453,2575,1
绘梦,顾笙,连载,青春校园,1362,14000,1
与他无关的故事,桃酥,连载,青春校园,1357,3232,1
永远爱着你,木子园,连载,都市爱情,1354,1050,0
我已眉眼积尘,沧澜若云,连载,古代言情,1354,1042,3
废材毒妃要翻天,凉小洛儿,连载,古代言情,1344,6947,1
听闻云上有星河,云上,连载,都市爱情,1337,1571,1
爱是桑榆霞满天,爱是桑榆霞满天,连载,民国情缘,1336,10854,0
斗破梧田,堕云,连载,时空穿越,1328,1343,1
原来我有这么喜欢你,野原白白,连载,青春校园,1327,2204,0
他从深渊而来,君午宴,连载,都市爱情,1326,1120,0
你忘记了谁,下线神明,连载,青春校园,1578,5715,0
与时同欢,竹外桃花三两只,连载,都市爱情,1562,2568,1
测试不要管,白马时光,连载,古代言情,1561,1134,0
前路漫漫，步履不停,邓楚涵,连载,励志人生,1556,70051,1
不二之臣,何处风流,连载,青春校园,1551,9037,5
狙心叵测,楚娇,连载,都市爱情,1548,1028,1
狙击言叔小芳心,叔东苗,连载,都市爱情,1542,7655,1
好想喜欢你,遇,连载,青春校园,1540,1554,11
听见你,九天,连载,奇幻空间,1540,6902,1
似水年华,葑小小,连载,青春校园,1539,3432,1
那个心里长草的夏天,神笔码不良,连载,青春校园,1534,24165,1
我带着光进入你的世界,林小侑,连载,都市甜宠,1531,2000,0
校草的可心小同桌,籽垸,连载,青春校园,1530,7964,3
任久,Littoral,连载,校园甜宠,1523,2415,6
郡主本色,一只小白出墙来,连载,古代言情,1518,3880,1
"30+,女王力",知欢知喜,连载,都市爱情,1512,3520,0
你的价格,蜻蜓点水,连载,校园甜宠,1508,1403,1
又逢月,忱枝,连载,都市爱情,1501,2293,0
玖命柒秒,松子,连载,校园甜宠,1496,1026,0
我的心是你的,暖风,连载,青春校园,1494,3288,2
他是一直的欢喜,陈皮绿豆沙,连载,都市爱情,1408,15797,2
南国有香荑,两不厌,连载,青春校园,1407,9060,1
与你在一起的时光,落烨,连载,青春校园,1405,1107,1
《何畏喜欢》,岚辞,连载,青春校园,1403,3816,1
二分之一的恋爱,鹿壹玖,连载,青春校园,1400,2087,1
她糖分超标了,望月砂,连载,青春校园,1398,6391,3
念你成疾,叶茶茶,连载,青春校园,1382,1004,1
《逆客》,学渣.,连载,青春校园,1368,1587,0
每日份薄荷味糖果get√,朝夕倩颖,连载,青春校园,1366,3990,1
醉梦,觥筹,连载,古代言情,1363,3663,0
长山相桉,醉落花荫,连载,青春校园,1618,3485,0
我深爱的·你,苏ran,连载,青春校园,1608,7444,1
小丑,张斐斐,连载,婚姻家庭,1599,36275,0
以南念北,啊木,连载,青春校园,1594,3265,1
‘弱’者为尊,蔗糖苦瓜,连载,时空穿越,1594,5652,1
坏蛋叔叔，妈咪不嫁,咏荞Hy,连载,总裁豪门,1591,5551,1
云行雨恰，无间冬夏,北阁二叔,连载,都市爱情,1589,1592,1
仗尔看南雪，锦瑟思华年,白雎辞,连载,青春校园,1588,2690,0
月汐本夕之坑徒良师,白米虫,连载,时空穿越,1585,1610,0
暗籁,白衣少鬼,连载,奇幻空间,1580,6775,0
唯一的良药,谦耀玖,连载,校园甜宠,1450,3574,0
若有一世,南鹿,连载,时空穿越,1447,3608,1
花开正盛，缓缓归忆,111,连载,都市爱情,1444,1177,0
来自星空的恶棍天使,你的炽天使,连载,都市爱情,1441,1995,1
她来了,羡烟,连载,都市爱情,1440,1461,0
因为有你，便繁花似锦,染汐,连载,玄幻言情,1439,1064,2
星匙之国,厌阙,连载,玄幻言情,1439,12996,0
光环陨落的世界,你拥有最好的,连载,科幻未来,1436,17278,1
他之罪,糖懿秋,连载,悬疑推理,1431,1447,0
多娇簪缨,庭若,连载,宫斗宅斗,1410,2323,3
你我的遇见,铭浩轩,连载,青春校园,1650,6460,0
12·12,闪电法师看风景,连载,都市爱情,1648,1988,0
泯無安生,某憨,连载,青春校园,1648,6663,3
还是想你,柒拾壹,连载,校园甜宠,1648,2137,1
硝烟滚滚,凌空霹雳,连载,时空穿越,1644,5553,1
世界最后的幻想,漆继柃夜,连载,重生异能,1636,1961,1
那年青春,南海十八少,连载,都市爱情,1633,3065,1
他的小昙花,黥瑶,连载,青春校园,1632,2870,2
伦敦往事 ——华人留学圈的绯闻女孩们,山楂,连载,青春校园,1631,21211,0
时意,沈茕茕,连载,青春校园,1626,2000,0
给大神实力打call,红樱,连载,都市甜宠,1671,6528,1
云烟缈缈,徐欢生,连载,青春校园,1670,1152,0
青丝寻,陈成,连载,玄幻言情,1667,2627,1
奈何喜欢你,墙外一只桃,连载,校园甜宠,1666,5095,1
玖肆喜欢你,諠肆.Eleven,连载,玄幻言情,1661,22532,2
清风徐来只为你,温温北梁,连载,青春校园,1660,8573,1
明月何皎皎,一叶兰舟,连载,宫斗宅斗,1652,1086,1
误被男配叼回窝,书生买酒,连载,古代言情,1651,1217,0
时光和旅行,宁小飞,连载,青春校园,1651,6275,1
深愁,田小森,连载,校园甜宠,1651,7875,3
我的半生为等你而来,涂霖小,连载,都市甜宠,1707,7989,0
茉莉花开，及远见闻,沫枡,连载,青春校园,1701,7288,0
太子妃好无聊,叶子珂,连载,古代言情,1696,1166,1
未竟之夏,（英）罗恩·科尔曼,连载,外国文学,1693,66352,2
假若时光倒流,伊小姐,连载,校园甜宠,1690,2075,1
岂曰无衣,栀子南,连载,都市爱情,1688,1062,5
徐许一生,丑巳酉,连载,娱乐明星,1687,1327,1
皎皎明月照花影,陆悯,连载,青春校园,1686,1293,0
我的初恋是月老,孟三茶,连载,玄幻言情,1684,1128,1
蒙面少侠,糖果青柠味儿,连载,青春校园,1678,1517,0
梦里不知谁是客,旧时雨,连载,仙侠神话,1745,6616,1
和你到地老天荒,QUEEN,连载,青春校园,1741,2030,0
你是治愈我的陶瓷,柒大大,连载,都市爱情,1738,1097,3
我的青春都是你,白日月光,连载,青春校园,1735,5331,4
一个奇怪的承诺,八月的酷暑,连载,都市爱情,1733,1508,0
超时空恋人2,心语,连载,穿书快穿,1726,3281,1
倾城美人醉,梦簪,连载,古代言情,1725,1173,0
霍先生，活久见,香槟,连载,娱乐明星,1725,5180,0
你是我不可言说的梦,优雅且凶残,连载,青春校园,1722,5907,1
时光有你，微微甜,茴玖,连载,都市爱情,1714,5527,4
许你一年欢喜,犄角儿,连载,都市爱情,1767,3155,2
星体的秩序,森苡,连载,青春校园,1767,21567,2
陈春天,赵小仙,连载,青春校园,1767,437,0
朝暮,穆岚,连载,古代言情,1763,1976,4
穿书九零，炮灰翻身做大佬,九月星辰,连载,时空穿越,1762,1106,0
你和我的盛夏光年,何安厦,连载,都市甜宠,1758,1306,0
月亮的药草,落杉,连载,青春校园,1757,8078,1
重生之顾少请走开,浅笑心汝～,连载,重生异能,1754,3223,0
简单而平淡,鎏涟,连载,青春校园,1751,2619,2
菠萝味的他,繁花,连载,青春校园,1750,5335,3
诡异的情缘,凌空霹雳,连载,时空穿越,1803,11330,1
我们的青葱时光,洛婷婷,连载,青春校园,1796,2419,1
他是17岁的梦,向日葵的微笑,连载,青春校园,1792,4383,1
初见之一封情书,忽逢桃花林,连载,都市爱情,1789,5559,0
一十四年秋,与山宴,连载,都市爱情,1784,8656,1
帆帆一起走吧,丸子说爱樱桃,连载,青春校园,1783,7165,1
被骗去当黑粉的日子里,食色,连载,都市爱情,1781,2602,0
书生买酒,书生买酒,连载,古代言情,1776,1217,1
玲珑骰子安红豆，入骨相思知不知,青空,连载,仙侠神话,1774,1023,1
辰星非昨夜,李新亮,连载,青春校园,1770,2634,1
郁郁,玫瑰椰子水,连载,都市爱情,1864,11028,1
戏精小妹的日常,青筱,连载,励志人生,1863,1650,0
婚谋已久：苏医生的千层套路,简寻cc,连载,都市爱情,1856,11206,1
人间花路,西西里呀,连载,都市爱情,1855,1761,2
栖栖不安,乖巧等你抱,连载,青春校园,1843,7282,1
茗暖兮寒秋,初洛茗,连载,都市爱情,1842,4125,1
我的小秘密,丁珰,连载,青春校园,1836,1249,1
他的眼是我此生不遇的海,山鬼,连载,青春校园,1833,7158,0
漠上花开,肉葱,连载,古代言情,1823,1031,0
你是星球最温柔,关舒窈,连载,青春校园,1813,11839,0
沪上某,朔方某,连载,青春校园,1923,2435,3
时光与你皆正好,二十四骨,连载,都市爱情,1921,12766,13
愚诚,王一舟,连载,青春校园,1919,6953,1
许你以南来往北走,护糖教主,连载,青春校园,1910,3563,4
我以他为家,江梨晚,连载,都市爱情,1909,657,1
圆滚滚和竹签签,粟笺,连载,古代言情,1905,3481,0
谁说矮个不能当超模,方忆薰,连载,娱乐明星,1882,5721,1
不曾错过怎会懂得,灵雀子,连载,都市爱情,1876,29262,2
冉冉兴起,归周,连载,都市甜宠,1871,1071,1
皇上你的龙椅可以 给我坐吗？,泥巴队长,连载,古代言情,1865,3380,0
我想陪你走过每一个孤独的夜晚,张秋雨,连载,都市爱情,1961,1889,0
纤忍迢迢,灵·陌,连载,都市爱情,1955,6797,1
初殇,hyh的熊宝宝,连载,青春校园,1950,1242,1
影帝独宠小萌妻,落幽燕,连载,都市爱情,1946,3371,0
爱在梧桐花开,安卡卡,连载,青春校园,1945,5391,1
南星顾北,甜酒小苏打,连载,娱乐明星,1944,1965,0
有幸,木一本,连载,青春校园,1943,6352,0
娘娘万福,香槟,连载,古代言情,1942,3059,1
不思量，自难忘,青酒,连载,古代言情,1937,1119,11
那年十七,奇书,连载,时空穿越,1933,8167,0
桃之幺幺，灼灼我心,青筱,连载,都市甜宠,2017,1349,1
乔警官的糖,橘子咕咕,连载,都市爱情,2016,4895,2
藏在心底的喜欢,仪兮,连载,青春校园,2013,5871,2
吹梦到西洲,端韫婷,连载,校园甜宠,2010,4274,2
日行一善,沈让,连载,仙侠神话,2004,13251,0
夜冉,江橙子,连载,仙侠神话,2004,3983,1
遗忘,阊阖,连载,励志人生,1997,9385,2
当霞光浅眠,弧芹絮子,连载,青春校园,1976,9491,0
蓄意承诺,己见,连载,都市爱情,1963,23180,0
林间有清歌,叶乔笙,连载,青春校园,1962,1232,2
真心爱你,逗宝宝,连载,青春校园,2159,7086,1
占卜的爱情,蒋初四,连载,都市爱情,2152,5555,4
阿江，恋爱循环中,槐南中秋,连载,校园甜宠,2145,5005,0
诗里有你的名字,默读匣子,连载,都市爱情,2144,1653,0
《碎语轻言海誓》,陌谂兮,连载,青春校园,2127,6095,2
谢谢你还在这里,云在野,连载,都市爱情,2119,5924,0
他与往事,蚊子不会飞,连载,青春校园,2104,7443,2
醉红颜,蒲蒲,连载,仙侠神话,2104,2865,2
不愿承认的欢喜,有氧泡泡,连载,都市爱情,2092,6884,1
腹黑王爷VS霸气王妃,仓白,连载,古代言情,2091,5703,0
他的小月光，过分可爱,夕素,连载,青春校园,2089,16039,5
云烟成雨唯不见你,柚子栖,连载,青春校园,2088,7925,1
你好！我的夏先生,羡烟,连载,青春校园,2087,6189,2
她的浓墨，重彩,八月惊蝉,连载,青春校园,2081,7504,0
OH MY GOD! 欧巴~,本樱,连载,都市甜宠,2071,8236,0
他钟爱甜酒,柒喃,连载,都市爱情,2069,5143,0
初夏微凉恋晚晴,袭月,连载,青春校园,2069,193970,1
繁芜,鹿野,连载,青春校园,2061,5215,2
一起走下去,一个人的唐朝,连载,青春校园,2061,9238,1
恰好欢喜,左丘毫墨,连载,青春校园,2035,7711,1
《很荣幸遇见你》,紫菀,连载,青春校园,2199,4674,0
我们，来日方长,木晓一,连载,青春校园,2194,4959,0
把你捧在星上,悦桐,连载,都市甜宠,2189,12835,2
信缘,忆鬼,连载,古代言情,2188,21246,10
过敏,初一,连载,悬疑推理,2185,1816,0
微风轻拂脸颊,九月,连载,都市爱情,2184,1032,1
听说你爱过我,墨染,连载,青春校园,2184,3464,2
25路汽车,听夜,连载,都市爱情,2178,4097,0
拯救问题少年需要从长计议,爱吃土豆豆,连载,青春校园,2169,13557,1
以儒相沫,一碗青稞面,连载,青春校园,2163,1007,0
半缘修道半缘君,吕屡旅,连载,古代言情,2287,1118,1
浮生香,沐语无声,连载,古代言情,2283,5632,1
那年初夏,七月九,连载,青春校园,2277,5540,1
锁风尘,枫染孤城,连载,青春校园,2271,16182,13
纵有离别亦重逢,柴米,连载,青春校园,2269,40233,2
最美好的夏天,子非云,连载,青春校园,2246,1128,2
千年缘 • 云之琴,小鲤飞鱼,连载,时空穿越,2239,8881,0
撩男神计谋手册,古枫清诚,连载,游戏竞技,2225,2133,1
舆论下的我们,付秋,连载,都市爱情,2220,5846,0
当静静遇上冬瓜,静静的冬瓜,连载,都市甜宠,2207,2526,1
弹丸之轻,北陕,连载,民国情缘,2355,1718,0
山有木兮木有枝,鹿殊,连载,青春校园,2354,8330,1
小小时光,陈辞,连载,青春校园,2350,3439,3
宫深缘起终落,‍初尘,连载,古代言情,2345,10820,0
怼天怼地怼皇帝,八方先生,连载,时空穿越,2336,3297,3
青年派「续写」,哄哄,连载,青春校园,2332,1018,0
电竞让人头秃,泥巴队长,连载,游戏竞技,2323,5674,0
我想像她一样,笑时正茂,连载,青春校园,2313,7805,2
你比草莓还要甜,小七,连载,校园甜宠,2307,1000,13
平生只要相思,车厘子,连载,都市爱情,2296,3171,1
徒弟有毒,洛婷婷,连载,仙侠神话,2402,3273,1
她和他,鱼头,连载,青春校园,2396,1205,1
蓬蒿的呐喊——舞台上的年轻人们,久南乔,完结,青春校园,2396,15365,16
浮生,柏塔不说话,连载,都市爱情,2393,8069,0
你一日在场征战，我心底你永为王,初笙,连载,游戏竞技,2389,1591,4
成为通房丫头的我被系统绑定了,嘉平二十一,连载,时空穿越,2389,1171,1
小贝向北，小南向南,菁大娘,连载,都市爱情,2382,9104,0
予你时光度流年,锦言,连载,总裁豪门,2378,3362,2
家家扶得醉人归,鱼幺,连载,青春校园,2368,7415,1
灵蛇奇缘,麦地醇,连载,古代言情,2360,14598,2
你是谁的白衣少年,寻吾,连载,校园甜宠,2656,7477,1
带着竹马去流浪,十一月,连载,重生异能,2630,15326,1
檀香引,丰子衿,连载,玄幻言情,2625,5465,0
迟余之年,朵歌,连载,玄幻言情,2623,16608,1
一折戏,陈雪梨,连载,古代言情,2620,3500,2
在最美的时光遇见你,落墨言希,连载,青春校园,2613,5744,3
老榆树旁的花骨朵,浪仔,连载,励志人生,2607,3250,1
原谅才是大爱,听我的,连载,青春校园,2601,30522,0
等什么君,只是戏子,连载,玄幻言情,2595,5539,1
纪·遇见,吴玘,连载,青春校园,2594,2058,0
AD钙,Fond  marin,连载,青春校园,2533,4056,5
right here waiting,拾柒,连载,都市爱情,2517,9772,0
皇上,露朝,连载,,2511,8186,1
你不要姗姗来迟,陈烟火,连载,都市爱情,2509,2737,2
绪垂昭墓,里隺不归,连载,悬疑推理,2507,4361,1
风也温柔,任柒柒,连载,都市爱情,2506,1642,0
星辰恋柔情,楚绾陶,连载,都市甜宠,2471,4811,0
风月情,沫枡,连载,古代言情,2470,3172,0
光逆,北戚戚,连载,青春校园,2469,1362,1
你温暖了我的时光,庄定谣,连载,都市爱情,2467,5403,1
拥抱你的全世界,手辰,连载,青春校园,2730,2491,1
陪你一起等雨停,宸北,连载,青春校园,2716,6255,1
纤尘阁,流馨予,连载,仙侠神话,2716,4108,3
她三,奈何三岁,连载,励志人生,2698,3232,2
你是星星吗,南蹊,完结,青春校园,2696,12990,10
一见倾心,思故,连载,都市爱情,2670,3436,4
别处撒野,南瓜,连载,都市爱情,2669,1173,3
逾期,月中月,连载,青春校园,2669,2826,0
我做你的全世界,非也大人,连载,都市爱情,2660,1840,37
夜深忽梦少年事,邑尔,连载,都市爱情,2659,10955,1
起缘，终分,話奕,连载,都市爱情,2462,710,0
还没到最后,林中的林,连载,青春校园,2461,6656,0
流年不负相思意,栀之水,连载,青春校园,2454,1380,0
相思赋予谁,乂十,连载,青春校园,2454,5515,0
咨询夜不眠,兰亦,完结,职场白领,2445,248476,0
静静地等着你,梦簪,连载,青春校园,2435,2232,0
心灵研究事务所,苏叶不是苏葉,连载,推理破案,2430,25324,0
快穿之努力活过十七岁,糯米团子,连载,穿书快穿,2428,6058,1
悲伤向北,阿伟1989,连载,青春校园,2426,17940,0
夏风拂过北极星,洛玖汐,连载,都市爱情,2410,3168,1
江山玩美,飘雪,连载,仙侠神话,2809,11914,1
小恩爱,芋梓,连载,都市爱情,2807,11720,1
惊霄九尘丶念狐娇,姣颜狐,连载,时空穿越,2804,6223,2
往后余生只有你,薄寒西文,连载,青春校园,2782,1109,9
风送你回我身边,宁奚,连载,青春校园,2777,2790,1
神圣国度,木头人,连载,奇幻空间,2770,2406,1
自作多情,沈瞳,连载,都市甜宠,2770,1942,1
终究不止忧伤,庆舒,连载,青春校园,2756,18535,1
不思归,梦萱,连载,励志人生,2747,1343,0
玫瑰蛇小姐,幸福的橙子,连载,都市爱情,2747,12221,1
我的明月凉如夜,南九北,连载,青春校园,2589,10267,0
滚烫星河,星河,连载,青春校园,2580,6333,1
成全,千纸鹤,连载,青春校园,2577,1373,0
你是我的专属温柔,白阮双,连载,青春校园,2571,8467,1
婚途有你，刚刚好,花花小姐,连载,都市爱情,2565,3922,1
只争朝晰,樨林有鹤,连载,游戏竞技,2564,4704,1
爱情修正师,叁月,连载,都市爱情,2560,1102,0
胭脂阁,栀子南,连载,仙侠神话,2554,2122,6
病房少女,镜月乘凉,连载,青春校园,2552,5237,6
超速绯闻,言不语,连载,都市爱情,2538,1264,6
迟嘉书,小老头,连载,古代言情,2895,7253,0
鲜衣怒马最网游,酥饼酒,连载,游戏竞技,2892,16645,3
春天的呼唤,顺乎自然,连载,都市爱情,2863,25983,0
恰逢卿,胡胡,连载,古代言情,2850,2148,1
若夫日出而林霏开,遖屿,连载,都市爱情,2821,3154,1
相见不欢，何以白头,衡止,连载,都市爱情,2821,4019,1
与光之间,雕猫,连载,都市爱情,2816,6619,7
满天繁星，璀璨如你,雅暄,连载,青春校园,2814,4093,2
万世独尊,南苑北墙,连载,仙侠神话,2814,5531,1
姑母今日不上朝,白鹤公子,连载,古代言情,2812,7236,1
我怎能将你比作夏天,梧遥,连载,青春校园,2951,9324,0
暖阳向着南风,娆酒,连载,青春校园,2950,7306,4
《梦玲传说》,牛可可,连载,都市爱情,2949,4088,1
覆手翻云只为喵,猫的兜里有糖,连载,娱乐明星,2948,3231,6
风声,雾漫漫慢行,连载,都市爱情,2946,22440,0
洛河之歌,梦小卓,连载,重生异能,2937,4220,2
感谢你温暖了时光,宋骁,连载,励志人生,2930,5443,3
平凡时光中遇见你,南巷狸猫,连载,青春校园,2915,9434,0
你是我的专属小点心,咏荞Hy,连载,都市甜宠,2912,5158,0
王朝魇,狐狸坐在沙丘上,连载,古代言情,2909,4934,0
戏精导演求捧红,思清入骨,连载,都市爱情,3013,1993,22
郡主在上,古枫清诚,连载,古代言情,3009,1052,0
进酒,笨末,连载,古代言情,3007,1819,2
他若星辰我似尘埃,a怀梦,连载,青春校园,2990,5416,2
你是我的爱而不得,悲,连载,都市爱情,2988,3279,1
顾恒念小时,七杭城,连载,都市爱情,2981,5165,2
他迷途在百年孤独里,Elaine,完结,都市爱情,2977,10358,3
月亮与K先生,野小意,连载,游戏竞技,2971,6457,4
她独占时光,一只小狗会飞天啾,连载,都市爱情,2961,4639,2
南巷的花猫,悸悛,连载,都市爱情,2957,2226,2
害羞的你,木头人,连载,玄幻言情,3121,3912,2
被神遗忘的世界,白米虫,连载,推理破案,3103,2714,15
北朝,许溟,连载,古代言情,3101,5301,0
漫上时光微微甜,阿然好可爱,连载,青春校园,3094,6302,3
《好在》,小张氏,连载,青春校园,3092,12966,5
等你 waiting for you,简心归晨,连载,都市爱情,3091,7708,3
穿越后她想谈个甜甜的恋爱,爱吃泡面的阿布,连载,时空穿越,3091,6490,0
带着夫君去经商,由子,连载,种田经商,3090,5581,0
她的小秘密,丁珰,连载,青春校园,3083,2214,1
遗憾列车,顾笙甜,连载,青春校园,3079,11601,1
霸总他想要甜甜的恋爱,晨总,连载,都市爱情,3078,5164,1
见君一面误终生,简心归晨,连载,古代言情,3073,2890,0
时光倾你，月倾城,沐一,连载,科幻未来,3047,4297,1
研路军途,战戈,连载,青春校园,3046,19264,0
这个公主不好惹,冰寒于水,连载,古代言情,3029,9305,2
甜妻在上，顾少请慢宠,那只猫吃洋葱,连载,都市爱情,3023,8116,1
来得及,千纸鹤,连载,励志人生,3023,2263,1
回到民国当侠女,邱子阳,连载,时空穿越,3019,23699,0
爱你，俗不可耐,老向废名,连载,青春校园,3015,12929,0
青色,XCY,连载,青春校园,3014,1729,13
你是流水我是花,什野,连载,青春校园,3221,7589,1
与你相识在梦境,词不达意,连载,都市爱情,3211,27723,0
你和我的青涩光年,关舒窈,连载,青春校园,3208,9183,2
一生一世，南竹愿,南栀北橙,连载,仙侠神话,3194,4461,1
浮生若梦浮生醉,娆酒,连载,时空穿越,3188,7596,4
她是黯淡星,纾亦,连载,校园甜宠,3178,5086,4
你是我的可遇不可求,绿蜡,连载,都市爱情,3174,11601,1
南枝为谁损芳姿,江飒,连载,古代言情,3172,32403,0
1/2灵魂,幸福的橙子,连载,青春校园,3165,14431,1
和你,承蒙,连载,青春校园,3132,6260,1
兔子眼红了谁的眼,利比莉,连载,青春校园,3290,68069,1
相执念,烟云敛,连载,仙侠神话,3275,12913,1
她站在人间吻你,舟舟栀,连载,时空穿越,3271,14490,1
三界壹生,Amanda,连载,玄幻言情,3266,6895,0
他比时光利落,宋泯央,连载,都市爱情,3254,15909,1
勿忘翩跹,林汀,连载,励志人生,3251,24962,1
右手军礼，左手是你,奈何三岁,连载,励志人生,3248,2495,17
醉梦无痕,菱羽,连载,玄幻言情,3244,5100,1
当植与宜欢,苏西,连载,古代言情,3228,24877,5
此去经年，不负相遇,时未,连载,玄幻言情,3223,6295,0
转世轮回只为你,攸邪,连载,玄幻言情,3441,5788,2
颓唐客,八月之望,连载,青春校园,3440,7122,2
等待一个人的散文集,程诺,连载,青春校园,3438,13870,0
炯炯有神,沐涳,连载,都市甜宠,3435,5551,6
孤馆闭春寒,云中鹊,连载,古代言情,3430,5669,1
等风沙过后---我回去找你,上上世纪被砸了脑袋依旧清醒的牛顿,连载,校园甜宠,3423,18708,0
等待奇迹的绽放,冬杨,连载,青春校园,3410,11513,0
摽有梅,白木蕖,连载,青春校园,3409,16822,0
病房女友,韩年淮乱,连载,青春校园,3399,5030,1
帝宫东凰飞,梦簪,连载,古代言情,3394,6834,1
假如我是真的,假宝英,连载,都市爱情,3392,4198,4
往生不负与你,非也大人,连载,都市爱情,3383,5738,2
反派与男主的恋爱,祈年,连载,悬疑推理,3382,5064,1
良宵美景予你,邬二一,连载,青春校园,3365,2206,1
肆乱欲野,什野,连载,古代言情,3360,1193,1
情定少年时,铁锅炖肉,连载,青春校园,3360,15054,1
九州乘风归,度余生,连载,古代言情,3348,9268,1
缘于宫,‍初尘,连载,古代言情,3320,10819,3
扶世,顾四六,连载,仙侠神话,3315,4628,4
冬日渐暖,魏春树,连载,青春校园,3290,10653,0
一见就欢喜,怂萌呀,连载,都市甜宠,3734,6923,3
定浮生,千岁忧,连载,古代言情,3731,19996,1
这个男人来自X星球,爱藏獒的葱,连载,奇幻空间,3729,5471,0
优雅是种力量,晓雪,完结,励志人生,3719,92638,2
《原来我曾如此爱你》,西江,连载,青春校园,3702,6261,2
极品弟弟,南巷狸猫,连载,都市爱情,3694,7266,0
有容格格,目成,连载,民国情缘,3690,8541,0
放不下的你,Chun夕,连载,青春校园,3679,157576,1
正魔,君笙邪,连载,仙侠神话,3677,2631,1
长欢愉,檀吟,连载,青春校园,3655,2219,1
无悄不成姝,昭华,连载,都市甜宠,3561,11756,1
愈爱愈美丽,大卌NA,连载,都市爱情,3540,2946,0
在你心上开一枪,时七,连载,游戏竞技,3532,4542,3
陌上支影的女孩,蔗糖苦瓜,连载,时空穿越,3501,17485,2
温柔成疾,一抹多,连载,青春校园,3498,7732,1
何其幸运遇见你,Yukiki,连载,都市爱情,3486,3604,0
彩虹替我说爱你,麻小佳,连载,青春校园,3480,9604,3
昭昭星万里,邬二一,连载,青春校园,3478,5418,3
温酒炖时光,鹿壹玖,连载,青春校园,3477,8383,1
流浪,蘈就,连载,校园甜宠,3455,10253,2
暗恋的大佬每天都在偷瞄我,不羡鱼,连载,青春校园,3826,9454,7
沉渊向欢,美男子,连载,总裁豪门,3823,5788,1
若不能同生,阿年,连载,都市爱情,3814,13468,0
暖终离散·岁月难安,梦七七,连载,,3809,7780,1
一本不正经的博物志,安迪斯晨风,完结,励志人生,3801,128076,6
悠悠球,木琳,连载,青春校园,3787,8479,0
你若不离，我便不弃,离书,连载,青春校园,3782,3498,2
修习者,154,连载,重生异能,3773,6753,0
枯夏,雁疏南,连载,青春校园,3762,27473,5
我愿有来生,九月枝繁,连载,宫斗宅斗,3736,6985,1
再次相见 星辰亦转,惟蜜桃酱,连载,青春校园,3644,12395,1
仙狐,湛蓝,连载,仙侠神话,3644,6652,1
快穿，这个红娘脾气有点小暴躁,猫的兜里有糖,连载,玄幻言情,3642,5918,9
单翅爱情,丰煜,连载,都市爱情,3632,1973,0
云海间,不记年,连载,都市爱情,3628,20298,1
胜过蜜意你比糖甜,南亿,连载,都市爱情,3601,10499,0
美人画骨,肆三,连载,古代言情,3594,5220,8
